    ('3OTYUYS98YI4AQ01', '3OTYOBAJJ2DCFP01', 'test_user1', NULL, NULL, NULL, NULL, NULL, NULL, '2022-02-17T08:05:30.000000Z', NULL, 'IN_PROGRESS', '2022-02-17T08:05:30.000000Z', '2022-02-17T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2X7SFU80U0R', '3Q8ZLIST0JGOJM08', 'test_user3', 'MBM782', NULL, 'GROUP_1', 'RECOGNIZED', 'NOT_RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:46:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2X70N4SH10S', '3Q8ZLIST5VQW6Q09', 'test_user1', NULL, NULL, NULL, 'NO_PLATE', 'NOT_RECOGNIZED', 'NOT_RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:47:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2X7839K0I0T', '3Q8ZLISUEBZO2U0A', 'test_user1', NULL, NULL, 'GROUP_1', 'NO_PLATE', 'NOT_RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:48:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2X8J0JW8W0U', '3Q8ZLISUJVDGMN0B', 'test_user1', 'MBM782', 'MBM782', NULL, 'RECOGNIZED', 'RECOGNIZED', 'NOT_RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:49:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2X8PHYOD10V', '3Q8ZLISUJVDGMN0B', 'test_user2', NULL, NULL, NULL, 'NOT_RECOGNIZED', 'NO_PLATE', 'NOT_RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:50:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2X906J4B80W', '3Q8ZLISUJVDGMN0B', 'test_user3', 'MBM782', 'MBM782', 'GROUP_1', 'RECOGNIZED', 'RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:51:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2X9CDVSLR0X', '3Q8ZLISUQY5O150C', 'test_user1', NULL, 'MBM782', NULL, 'NOT_RECOGNIZED', 'RECOGNIZED', 'NOT_RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:52:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XAPESC220Y', '3Q8ZLISVWIXGE60D', 'test_user1', 'MBM782', NULL, 'GROUP_1', 'RECOGNIZED', 'NO_PLATE', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:53:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XAWF3OR50Z', '3Q8ZLISVWIXGE60D', 'test_user2', NULL, NULL, NULL, 'NO_PLATE', 'NOT_RECOGNIZED', 'NOT_RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:54:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XA1ZN4VF10', '3Q8ZLISVWIXGE60D', 'test_user3', 'MBM782', 'MBM782', 'GROUP_1', 'RECOGNIZED', 'RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:55:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XBAZK8OA11', '3Q8ZLISVWIXGE60D', 'test_user4', NULL, NULL, NULL, 'NO_PLATE', 'NOT_RECOGNIZED', 'NOT_RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:56:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XBH0DS3012', '3Q8ZLISVWIXGE60D', 'test_user5', NULL, NULL, 'GROUP_1', 'NO_PLATE', 'NOT_RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:57:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XDH0DCA013', '3Q8ZLISV1TZ8WK0E', 'test_user1', 'MBM782', NULL, NULL, 'RECOGNIZED', 'NOT_RECOGNIZED', 'NOT_RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:58:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XDUHV44D14', '3Q8ZLISV1TZ8WK0E', 'test_user2', NULL, 'MBM782', 'GROUP_1', 'NOT_RECOGNIZED', 'RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:59:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XE9F20G115', '3Q8ZLISV1TZ8WK0E', 'test_user3', 'MBM782', NULL, NULL, 'RECOGNIZED', 'NOT_RECOGNIZED', 'NOT_RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T11:05:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XFR1GW5516', '3Q8ZLISV1TZ8WK0E', 'test_user4', NULL, 'MBM782', NULL, 'NO_PLATE', 'RECOGNIZED', 'NOT_RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T12:05:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XGAVA46717', '3Q8ZLISV7AL0OX0F', 'test_user1', 'MBM782', NULL, NULL, 'RECOGNIZED', 'NOT_RECOGNIZED', 'NOT_RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T13:05:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XGK3DOLD18', '3Q8ZLISV7AL0OX0F', 'test_user2', NULL, 'MBM782', 'GROUP_1', 'NOT_RECOGNIZED', 'RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T14:05:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XHVGSKLU19', '3Q8ZLISV7AL0OX0F', 'test_user3', 'MBM782', 'MBM782', NULL, 'RECOGNIZED', 'RECOGNIZED', 'NOT_RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T15:05:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XH1XCSEX1A', '3Q8ZLISV7AL0OX0F', 'test_user4', 'MBM782', NULL, 'GROUP_1', 'RECOGNIZED', 'NOT_RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T16:05:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XH7CF0NT1B', '3Q8ZLISV7AL0OX0F', 'test_user5', NULL, NULL, NULL, 'NOT_RECOGNIZED', 'NOT_RECOGNIZED', 'NOT_RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T17:05:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XII9H0SU1C', '3Q8ZLISWL3KO7P0G', 'test_user1', 'MBM782', 'MBM782', 'GROUP_1', 'RECOGNIZED', 'RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T18:05:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XIR8XGG31D', '3Q8ZLISWL3KO7P0G', 'test_user2', NULL, 'MBM782', 'GROUP_1', 'NOT_RECOGNIZED', 'RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T19:05:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XJ4U4KNA1E', '3Q8ZLISWL3KO7P0G', 'test_user3', NULL, NULL, 'GROUP_1', 'NO_PLATE', 'NOT_RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T20:05:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XJBONKJU1F', '3Q8ZLISWL3KO7P0G', 'test_user4', 'MBM782', NULL, 'GROUP_1', 'RECOGNIZED', 'NO_PLATE', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T11:06:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XKKMVKO91G', '3Q8ZLISWV7DWIK0H', 'test_user1', 'MBM782', NULL, NULL, 'RECOGNIZED', 'NOT_RECOGNIZED', 'NOT_RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T11:07:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XKOPY0J01H', '3Q8ZLISWV7DWIK0H', 'test_user2', NULL, 'MBM782', 'GROUP_1', 'NO_PLATE', 'RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T11:08:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XKUZPSG61I', '3Q8ZLISWV7DWIK0H', 'test_user3', 'MBM782', NULL, NULL, 'RECOGNIZED', 'NOT_RECOGNIZED', 'NOT_RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T11:09:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XK0V7O7F1J', '3Q8ZLISX62QSJZ0I', 'test_user1', NULL, 'MBM782', 'GROUP_1', 'NOT_RECOGNIZED', 'RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T11:10:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XLE8RS7B1K', '3Q8ZLISX62QSJZ0I', 'test_user2', 'MBM782', 'MBM782', 'GROUP_1', 'RECOGNIZED', 'RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T11:11:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
